stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest_x,capitalExpenditures,changeToNetincome,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome_x,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments,otherCashflowsFromFinancingActivities,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome_y,incomeBeforeTax,researchDevelopment,minorityInterest_y,otherOperatingExpenses,discontinuedOperations
DFNS,2019-06-30,7397000.0,10810000.0,1153000000.0,33043000.0,24475.0,725000.0,950.0,6538000.0,-3079000.0,620000.0,41475.0,950.0,65000.0,-3079000.0,4162173.0,711000.0,-525.0,1529000.0,359.0,65950.0,7229000.0,3991000.0,24475.0,41475.0,24641.0,1816000.0,1431000.0,32000000.0,13000000.0,-269000.0,-230945.0,-1105000.0,1158000.0,-5701000.0,-258750000.0,336000.0,-525.0,-16000.0,-122.0,950.0,-525,-19583.0,-18000.0,-16000.0,-258750000.0,0,1000.0,-728000.0,-7000000.0,-525.0,-525.0,-525,0,0,0,0,-180000.0,-384851.0,0,0,384851.0,-525,-525.0,1950000.0,13000000.0,41126000.0,-1000000.0
VKI,2020-02-29,4796994.0,10810000.0,363783499.0,9767359.0,552871589.0,674987008.0,9767359.0,6538000.0,-3079000.0,620000.0,5718516.0,950.0,237637570.0,-3079000.0,4162173.0,18333.0,53650862.0,1529000.0,499220727.0,922391937.0,35860.0,3991000.0,552871589.0,369520348.0,24641.0,1816000.0,1431000.0,32000000.0,13000000.0,-269000.0,-12834584.0,-67887.0,1158000.0,-5511616.0,-258750000.0,336000.0,-1591813.0,-16000.0,-436721.0,950.0,11285576,25081.0,1591813.0,7540149.0,-258750000.0,0,1000.0,-728000.0,-7000000.0,11285576.0,11285576.0,3698741,0,1315113,8901947,0,-1960059.0,7586835.0,7586835,8901947,1315113.0,11285576,11285576.0,1950000.0,13000000.0,41126000.0,-1000000.0
VKI,2019-11-30,4796994.0,10810000.0,363783499.0,9767359.0,552871589.0,674987008.0,9767359.0,6538000.0,-3079000.0,620000.0,5718516.0,950.0,237637570.0,-3079000.0,4162173.0,18333.0,53650862.0,1529000.0,499220727.0,922391937.0,35860.0,3991000.0,552871589.0,369520348.0,24641.0,1816000.0,1431000.0,32000000.0,13000000.0,-269000.0,-12834584.0,-67887.0,1158000.0,-5511616.0,-258750000.0,336000.0,-1591813.0,-16000.0,-436721.0,950.0,11285576,25081.0,1591813.0,7540149.0,-258750000.0,0,1000.0,-728000.0,-7000000.0,11285576.0,11285576.0,3698741,0,1315113,8901947,0,-1960059.0,7586835.0,7586835,8901947,1315113.0,11285576,11285576.0,1950000.0,13000000.0,41126000.0,-1000000.0
VKI,2019-08-31,3000995.0,10810000.0,348607053.0,8857834.0,542197379.0,676877883.0,8857834.0,6538000.0,-3079000.0,620000.0,3994169.0,950.0,209078834.0,-3079000.0,4162173.0,15950.0,42104196.0,1529000.0,500093183.0,894814551.0,35590.0,3991000.0,542197379.0,352617172.0,24641.0,1816000.0,1431000.0,32000000.0,13000000.0,-269000.0,-12014130.0,33564.0,1158000.0,-5992068.0,-258750000.0,336000.0,8868194.0,-16000.0,-436721.0,950.0,20784856,63905.0,-8896020.0,-2903952.0,-258750000.0,0,1000.0,-728000.0,-7000000.0,20784856.0,20784856.0,12903051,0,1362545,9244350,0,-2191125.0,7881805.0,7881805,9244350,1362545.0,20784856,20784856.0,1950000.0,13000000.0,41126000.0,-1000000.0
VKI,2019-05-31,3000995.0,10810000.0,348607053.0,8857834.0,542197379.0,676877883.0,8857834.0,6538000.0,-3079000.0,620000.0,3994169.0,950.0,209078834.0,-3079000.0,4162173.0,15950.0,42104196.0,1529000.0,500093183.0,894814551.0,35590.0,3991000.0,542197379.0,352617172.0,24641.0,1816000.0,1431000.0,32000000.0,13000000.0,-269000.0,-12014130.0,33564.0,1158000.0,-5992068.0,-258750000.0,336000.0,8868194.0,-16000.0,-436721.0,950.0,20784856,63905.0,-8896020.0,-2903952.0,-258750000.0,0,1000.0,-728000.0,-7000000.0,20784856.0,20784856.0,12903051,0,1362545,9244350,0,-2191125.0,7881805.0,7881805,9244350,1362545.0,20784856,20784856.0,1950000.0,13000000.0,41126000.0,-1000000.0
TRMD,2020-03-31,29300000.0,38200000.0,736200000.0,103400000.0,1045500000.0,1100000.0,276200000.0,1802600000.0,-29300000.0,620000.0,198800000.0,129300000.0,21500000.0,-33500000.0,4162173.0,44900000.0,976900000.0,1529000.0,700000.0,2101400000.0,61400000.0,3991000.0,1045500000.0,1055900000.0,101400000.0,1816000.0,1431000.0,108100000.0,13000000.0,-68600000.0,-4200000.0,33564.0,-33800000.0,-5992068.0,-258750000.0,31400000.0,49800000.0,-16000.0,-1300000.0,53000000.0,56400000,63905.0,62600000.0,67600000.0,-59400000.0,0,100000.0,-728000.0,-3800000.0,56400000.0,56400000.0,-13300000,131200000,176200000,246300000,400000,-14200000.0,70100000.0,70100000,115100000,13800000.0,56400000,56800000.0,1950000.0,13000000.0,-200000.0,-1000000.0
TRMD,2019-12-31,47120000.0,34837000.0,746152000.0,95498000.0,1007687000.0,1170000.0,215913000.0,1687178000.0,-11421000.0,620000.0,194941000.0,56847000.0,99620000.0,-14308000.0,4162173.0,44901000.0,919959000.0,1529000.0,747000.0,2003881000.0,16380000.0,3991000.0,1007687000.0,996194000.0,101289000.0,1816000.0,1431000.0,78625000.0,13000000.0,-121249000.0,-121613000.0,33564.0,-15800000.0,-5992068.0,-258750000.0,29224000.0,45191000.0,-16000.0,-1300000.0,-49441000.0,146622000,63905.0,2991000.0,-47000.0,-97623000.0,22800000,4202000.0,-728000.0,-1164000.0,146622000.0,146622000.0,108477000,112922000,154981000,193210000,84000,-8700000.0,38229000.0,38229000,80288000,12724000.0,146622000,146706000.0,1950000.0,13000000.0,111000.0,-1000000.0
TRMD,2019-09-30,32000000.0,29300000.0,584100000.0,76300000.0,851800000.0,700000.0,230100000.0,1558600000.0,-15900000.0,620000.0,182200000.0,120800000.0,44600000.0,-18800000.0,4162173.0,44900000.0,772800000.0,1529000.0,700000.0,1834000000.0,53600000.0,3991000.0,851800000.0,982200000.0,97100000.0,1816000.0,1431000.0,81500000.0,13000000.0,-158300000.0,1600000.0,33564.0,12400000.0,-5992068.0,-258750000.0,27900000.0,32900000.0,-16000.0,-1300000.0,10000000.0,-9000000,63905.0,124000000.0,128400000.0,-146900000.0,0,4202000.0,-728000.0,-4400000.0,-9000000.0,-9000000.0,-12700000,104000000,142500000,146700000,500000,-10800000.0,4200000.0,4200000,42700000,10200000.0,-9000000,-8500000.0,1950000.0,13000000.0,400000.0,-1000000.0
TRMD,2019-06-30,38200000.0,36200000.0,605500000.0,87000000.0,864300000.0,300000.0,233700000.0,1430700000.0,-11900000.0,620000.0,174000000.0,106400000.0,53500000.0,-14800000.0,4162173.0,44900000.0,781300000.0,1529000.0,700000.0,1718200000.0,46500000.0,3991000.0,864300000.0,853900000.0,97100000.0,1816000.0,1431000.0,86000000.0,13000000.0,-90400000.0,100000.0,33564.0,6000000.0,-5992068.0,-258750000.0,26300000.0,37600000.0,-16000.0,-1300000.0,-55800000.0,5200000,63905.0,-15800000.0,-8900000.0,-77600000.0,0,4202000.0,-728000.0,-6900000.0,5200000.0,5200000.0,-8900000,111300000,152200000,166300000,0,-10100000.0,14100000.0,14100000,55000000,12300000.0,5200000,5200000.0,1950000.0,13000000.0,2300000.0,-1000000.0
CRDF,2020-03-31,598985.0,36200000.0,605500000.0,106432.0,6143358.0,300000.0,10282908.0,1376125.0,-678656.0,620000.0,4881300.0,9277025.0,156370.0,-678656.0,4162173.0,141064.0,-212992505.0,1529000.0,8554.0,11815403.0,46500000.0,3991000.0,6143358.0,5671985.0,219805965.0,1816000.0,1431000.0,86000000.0,13000000.0,-90400000.0,468219.0,97048.0,6000000.0,-5992068.0,-258750000.0,119320.0,-3374637.0,-16000.0,-1300000.0,-918267.0,-4088562,-58945.0,2456370.0,-8900000.0,-77600000.0,88283,2456370.0,-728000.0,-6900000.0,-4094622.0,-4088562.0,35444,2705691,4191710,67704,0,-10100000.0,-4124006.0,-4124006,-2637987,1486019.0,-4088562,-4088562.0,1950000.0,13000000.0,2300000.0,-1000000.0
CRDF,2019-12-31,656304.0,36200000.0,605500000.0,203480.0,7311284.0,300000.0,11353729.0,1575241.0,-971673.0,620000.0,4781744.0,10195292.0,157576.0,-971673.0,4162173.0,132495.0,-208897883.0,1529000.0,8312.0,13086546.0,46500000.0,3991000.0,7311284.0,5775202.0,217172528.0,1816000.0,1431000.0,86000000.0,13000000.0,-90400000.0,463181.0,-51442.0,6000000.0,-5992068.0,-258750000.0,364013.0,-3276864.0,-16000.0,-1300000.0,1163086.0,-4242536,-427865.0,4439950.0,-8900000.0,-77600000.0,617785,4484950.0,-728000.0,-6900000.0,-4248596.0,-4242536.0,46760,2864473,4381873,92577,0,-10100000.0,-4289296.0,-4289296,-2771896,1517400.0,-4242536,-4242536.0,1950000.0,13000000.0,2300000.0,-1000000.0
CRDF,2019-09-30,492367.0,36200000.0,605500000.0,152038.0,6655920.0,300000.0,9976784.0,1774736.0,-1165966.0,620000.0,4170814.0,9032206.0,170943.0,-1165966.0,4162173.0,4956.0,-204649287.0,1529000.0,8096.0,11922463.0,46500000.0,3991000.0,6655920.0,5266483.0,212463077.0,1816000.0,1431000.0,86000000.0,13000000.0,-90400000.0,451262.0,-29757.0,6000000.0,-5992068.0,-258750000.0,43000.0,-3187477.0,-16000.0,-1300000.0,-1759064.0,-4141549,39062.0,1490761.0,-8900000.0,-77600000.0,450505,1507179.0,-728000.0,-6900000.0,-4147609.0,-4141549.0,65927,2818824,4259163,51687,0,-10100000.0,-4207476.0,-4207476,-2767137,1440339.0,-4141549,-4141549.0,1950000.0,13000000.0,2300000.0,-1000000.0
CRDF,2019-06-30,525690.0,36200000.0,605500000.0,122281.0,8848175.0,300000.0,11820017.0,1912684.0,-1364234.0,620000.0,3694057.0,10791270.0,135262.0,-1364234.0,4162173.0,18287.0,-200501678.0,1529000.0,7997.0,13867963.0,46500000.0,3991000.0,8848175.0,5019728.0,210706090.0,1816000.0,1431000.0,86000000.0,13000000.0,-90400000.0,365324.0,-6605.0,6000000.0,-5992068.0,-258750000.0,41308.0,-3443113.0,-16000.0,-1300000.0,-538809.0,-4125303,-101248.0,2904304.0,-8900000.0,-77600000.0,383411,3001564.0,-728000.0,-6900000.0,-4131363.0,-4125303.0,94656,2830340,4358244,138285,0,-10100000.0,-4219959.0,-4219959,-2692055,1527904.0,-4125303,-4125303.0,1950000.0,13000000.0,2300000.0,-1000000.0
WEA,2019-12-31,2365656.0,36200000.0,57166146.0,3008453.0,174564634.0,300000.0,3210906.0,1912684.0,-1364234.0,620000.0,9503669.0,196147.0,238023543.0,-1364234.0,4162173.0,18287.0,17849065.0,2252.0,156715569.0,241234449.0,139223.0,3991000.0,174564634.0,66669815.0,210706090.0,1816000.0,1431000.0,86000000.0,13000000.0,-90400000.0,-1517997.0,486301.0,6000000.0,-2742218.0,-258750000.0,41308.0,2399105.0,-16000.0,-1300000.0,-139259.0,4061539,-12911.0,-2538363.0,203855.0,-77600000.0,-617828,3001564.0,-728000.0,83073.0,4061539.0,4061539.0,1187989,0,437227,3310777,0,-463082.0,2873550.0,2873550,3310777,437227.0,4061539,4061539.0,1950000.0,13000000.0,2300000.0,-1000000.0
